,product_url,brand,product_name,number_of_reviews,star_rating,Price,Fragrance Family,Scent Type,Key Notes,COMPOSITION,Features,Ingredients,Description,Details
0,https://www.ulta.com/p/coco-mademoiselle-eau-de-parfum-spray-pimprod2015831,CHANEL,COCO MADEMOISELLE Eau de Parfum Spray,-264,4.6,['$146.00'],Floral,,Orange,Sparks of fresh and vibrant Orange immediately awaken the senses.,,"['Ingredients\nAlcohol, Parfum (Fragrance), Aqua (Water), Linalool, Limonene, Benzyl Salicylate, Citronellol, Geraniol, Hexyl Cinnamal, Coumarin, Citral, Benzyl Alcohol, Ethylhexyl Methoxycinnamate, Butyl Methoxydibenzoylmethane, Ethylhexyl Salicylate, CI 14700 (Red 4), CI 42090 (Blue 1), IL28-1.\nDisclaimer: Please be aware that ingredient lists may change or vary from time to time. To confirm that a CHANEL product is suitable for your personal use, please consult the list of ingredients that is included on the product packaging.']","['COCO MADEMOISELLE Eau de Parfum is an irresistibly sexy and spirited, sparkling oriental fragrance that recalls a daring young Coco Chanel.']","{'Composition': 'Sparks of fresh and vibrant Orange immediately awaken the senses.', 'Fragrance Family': 'Floral', 'Key Notes': 'Orange'}"
1,https://www.ulta.com/p/cloud-eau-de-parfum-pimprod2000100,Ariana Grande,Cloud Eau de Parfum,"-2,302",4.3,['$65.00'],Warm & Spicy,Gourmand,Top - lavender blossom,,,"['Ingredients\nAlcohol Denat., Fragrance (Parfum), Aqua/Water/Eau, Ethylhexyl Methoxycinnamate, Ethylhexyl Salicylate, Butyl Methoxydibenzoylmethane, BHT, Limonene, Linalool, Hexyl Cinnamal, Tocopherol.']",['Ariana Grande Cloud Eau de Parfum is an uplifting fragrance. Inspiring. Dreamy. Playful.'],"{'Fragrance Family': 'Warm & Spicy', 'Scent Type': 'Gourmand', 'Key Notes': 'Top - lavender blossom'}"
2,https://www.ulta.com/p/eilish-eau-de-parfum-pimprod2030620,Billie Eilish,Eilish Eau de Parfum,"-1,904",4.5,['$68.00'],Amber Gourmand,,Top - sugared petals,,Vegan,"['Ingredients\nAlcohol Denat., Fragrance (Parfum), Water (Aqua), Citric Acid, Ethylhexyl Methoxycinnamate, Butyl Methoxydibenzoylmethane, Ethylhexyl Salicylate, Propylene Glycol, Linalool, Hexyl Cinnamal, Alpha-Isomethyl Ionone, Benzyl Salicylate, Benzyl Benzoate, Limonene, Yellow 5, Red 4, Blue 1.']","['Eilish Eau de Parfum is a captivating Amber Gourmand fragrance featuring notes of sugared petals, creamy vanilla, and warm musks.']","{'Features': 'Vegan', 'Fragrance Family': 'Amber Gourmand', 'Key Notes': 'Top - sugared petals'}"
3,https://www.ulta.com/p/her-eau-de-parfum-pimprod2001011,Burberry,Her Eau de Parfum,"-2,897",4.5,['$112.00'],Gourmand,Fruity Gourmand,Top - red and dark berries,,,"['Ingredients\nAlcohol Denat., Parfum/Fragrance, Aqua/Water/Eau, Ethylhexyl Methoxycinnamate, Alpha-Isomethyl Ionone, Ethylhexyl Salicylate, Limonene, Butyl Methoxydibenzoylmethane, Hexyl Cinnamal, Citronellol, Linalool, BHT, Alcohol, Tris(Tetramethylhydroxypiperidinol) Citrate, Ext. Violet 2 (CI 60730), Red 33 (CI 17200), Yellow 5 (CI 19140).']","['Burberry Her Eau de Parfum is the embodiment of the Londoner attitude - adventurous, spirited and bold. A vibrant fruity gourmand capturing the spirit of London.']","{'Fragrance Family': 'Gourmand', 'Scent Type': 'Fruity Gourmand', 'Key Notes': 'Top - red and dark berries'}"
4,https://www.ulta.com/p/donna-born-in-roma-eau-de-parfum-pimprod2016295,Valentino,Donna Born In Roma Eau de Parfum,"-5,279",4.8,['$115.00'],Warm Floral,,Top - blackcurrant,,Valentino Donna Born In Roma Eau de Parfum is a modern haute couture floriental vanilla perfume.,"['Ingredients\nAlcohol, Parfum / Fragrance, Aqua / Water, Benzyl Salicylate, Hydroxycitronellal, Benzyl Alcohol, Limonene , Butyl Methoxydibenzoylmethane, Ethylhexyl Salicylate, Linalool, Alpha-Isomethyl Ionone, Isoeugenol, Methyl Anthranilate, Citronellol, Benzyl Benzoate, Coumarin, Geraniol, Benzyl Cinnamate, Tris (Tetramethylhydroxypiperidinol) Citrate, Citral, Farnesol, Eugenol, Ci 14700 / Red 4, Ci 60730 / Ext. Violet 2.']","['Valentino Donna Born In Roma Eau de Parfum is a modern haute couture floriental. Three qualities of jasmine bring a luxurious femininity that is blended with vanilla bourbon, the most expensive extract in the world.']","{'Features': 'Valentino Donna Born In Roma Eau de Parfum is a modern haute couture floriental vanilla perfume.', 'Fragrance Family': 'Warm Floral', 'Key Notes': 'Top - blackcurrant'}"
5,https://www.ulta.com/p/black-opium-eau-de-parfum-xlsImpprod12951153,Yves Saint Laurent,Black Opium Eau de Parfum,"-6,285",4.7,['$139.00'],Warm & Spicy,,Top - coffee,,The opening notes of adrenaline-rich coffee and the sweet sensuality of vanilla recline into the softness of white flowers for a modern,"['Ingredients\nAlcohol, Water, Benzyl Salicylate, Benzyl Alcohol, Hydroxycitronellal, Butyl Methoxydibenzoylmethane, Hexyl Cinnamal, Limonene, Linalool, Geraniol, Citronellol, Cinnamyl Alcohol, Methyl Anthranilate, Amyl Cinnamal, Citral, Coumarin, Benzyl Benzoate, Ci 15985 / Yellow 6, Ci 17200 / Red 33.']","[""Yves Saint Laurent Black Opium Eau de Parfum is a seductively intoxicating warm and spicy women's fragrance with notes of coffee, vanilla, and white flower.""]","{'Features': 'The opening notes of adrenaline-rich coffee and the sweet sensuality of vanilla recline into the softness of white flowers for a modern', 'Fragrance Family': 'Warm & Spicy', 'Key Notes': 'Top - coffee'}"
6,https://www.ulta.com/p/good-girl-eau-de-parfum-xlsImpprod16461053,Carolina Herrera,Good Girl Eau de Parfum,-685,4.6,['$103.00'],Floral,,Top - sambac jasmine,,,"['Ingredients\nAlcohol Denat., Parfum (Fragrance), Aqua (Water), Linalool, Hydroxycitronellal, Benzyl Salicylate, Coumarin, Ethylhexyl Methoxycinnamate, Benzyl Benzoate, Ethylhexyl Salicylate, Butyl Methoxydibenzoylmethane, Limonene, Geraniol, Citronellol, Isoeugenol, Hexyl Cinnamal, Benzyl Alcohol, Citral, Ci 60730 (Ext. Violet 2).']","[""Carolina Herrera Good Girl Eau de Parfum is the ultimate femme fatale fragrance with sensual jasmine and the seductive tonka bean. It's so good to be bad.""]","{'Fragrance Family': 'Floral', 'Key Notes': 'Top - sambac jasmine'}"
7,https://www.ulta.com/p/la-vie-est-belle-eau-de-parfum-xlsImpprod4570079,Lancôme,La Vie Est Belle Eau de Parfum,"-8,579",4.7,['$102.00'],Floral,,Top - iris,,La Vie Est Belle Eau de Parfum by Lancôme is an energizing floral perfume for women,"['Ingredients\nAlcohol, Fragrance, Water, Linalool, Benzyl Salicylate, Limonene, Methyl Anthranilate, Tris (Tetramethylhydroxypiperidinol) Citrate, Ethylhexyl Methoxycinnamate, Butyl Methoxydibenzoylmethane, Bht, CI 14700 (Red 4), CI 17200 (Red 33), Geraniol, Alpha-Isomethyl Ionone, Coumarin, Farnesol, Citral, Citronellol, Benzyl Alcohol, Benzyl Benzoate.']","['Lancôme La Vie Est Belle Eau de Parfum, French for ""life is beautiful,"" blends fresh spring iris with decadent spun sugar and warm vanilla for a floral gourmand scent that inspires your path to happiness.']","{'Features': 'La Vie Est Belle Eau de Parfum by Lancôme is an energizing floral perfume for women', 'Fragrance Family': 'Floral', 'Key Notes': 'Top - iris'}"
8,https://www.ulta.com/p/her-elixir-de-parfum-pimprod2034780,Burberry,Her Elixir de Parfum,-644,4.4,['$148.00'],Gourmand,Fruity,Top - strawberry,,,"['Ingredients\nAlcohol Denat., Parfum/Fragrance, Aqua/Water/Eau, Alpha-isomethyl Ionone, Limonene, Hexyl Cinnamal, Linalool, Citronellol.']","['Burberry Her Elixir de Parfum: a bold and sensual fragrance for women. An intense addition to the Burberry Her family, Her Elixir de Parfum offers signature fruity gourmand notes alongside a daring burst of dark red berries with jasmine, rounded with sensual and addictive vanilla and amber.']","{'Fragrance Family': 'Gourmand', 'Scent Type': 'Fruity', 'Key Notes': 'Top - strawberry'}"
9,https://www.ulta.com/p/paradoxe-eau-de-parfum-pimprod2034721,Prada,Paradoxe Eau de Parfum,-431,4.7,['$142.00'],Floral,,Neroli,A floral ambery fragrance that embraces the paradoxes of iconic ingredients to reveal new scented sensations.,,"['Ingredients\nAlcohol, Parfum/Fragrance, Aqua/Water/Eau, Limonene, Linalool, Benzyl Salicylate, Benzyl Alcohol, Methyl Anthranilate, Ethylhexyl Salicylate, Butyl Methoxydibenzoylmethane, Coumarin, Hydroxycitronellal, Citronellol, Geraniol, Citral, Tris(Tetramethylhydroxypiperidinol) Citrate, Farnesol, Benzyl Benzoate, CI 17200/Red 33.']","[""Prada Paradoxe Eau de Parfum, a floral women's fragrance, is an invitation to explore and express the paradoxical multi-dimensionality of women. The celebration of being never the same, always yourself.""]","{'Composition': 'A floral ambery fragrance that embraces the paradoxes of iconic ingredients to reveal new scented sensations.', 'Fragrance Family': 'Floral', 'Key Notes': 'Neroli'}"
